__time,/pcl_pose/pose/pose/orientation/w,/pcl_pose/pose/pose/orientation/x,/pcl_pose/pose/pose/orientation/y,/pcl_pose/pose/pose/orientation/z,/pcl_pose/pose/pose/position/x,/pcl_pose/pose/pose/position/y,/pcl_pose/pose/pose/position/z,distance,curvature
1729518868.39094,0.99935944,-0.025428715,0.021288374,-0.013448196,-0.008703558,-0.030379407,0.031612452,0.0,0.5771105799647688
1729518869.96735,0.998325287,-0.0172647,0.013645916,0.053500883,0.414439082,-0.007312459,0.022296602,0.42377090258322875,0.25939380617683283
1729518871.74082,0.980393958,-0.015612017,0.025673699,0.19474297,1.148992538,0.23800537,-0.059824321,0.7744350308107304,1.0193382036200767
1729518873.05742,0.992886042,-0.019465957,0.013562469,0.116680895,1.906208754,0.54189229,-0.071720533,0.8159189040097338,0.2106886400657204
1729518875.77564,0.966013096,-0.007550086,0.007227505,0.258281727,3.93824935,1.260974884,-0.207401112,2.1555205312837553,0.12909134206806958
1729518878.34043,0.94742608,-0.011427297,0.019733547,0.319161079,5.801767826,2.300393105,-0.332874686,2.1337974010060488,0.19130870901249294
1729518880.71744,0.888645876,-0.005763023,0.026390069,0.45779779,7.081336498,3.925087214,-0.423277169,2.0680732419774563,0.09427790916835391
1729518882.93152,0.863620148,-0.007770954,0.014931743,0.503861935,8.022434235,5.683673859,-0.5227139,1.994565601467868,0.04038131617789913
1729518885.36341,0.867502825,-0.007573728,0.020591271,0.496948191,8.960940361,7.674910545,-0.650207698,2.201321713928201,0.06762389288388332
1729518887.57873,0.863671987,-0.008922394,0.02253537,0.503471185,10.092624664,9.466651917,-0.782148063,2.1192089339640483,0.05841210474755803
1729518889.69108,0.897944531,-0.009895751,0.024373728,0.439321732,11.136342049,11.223574638,-0.849768817,2.043556563278169,0.14087703659536413
1729518891.9258,0.860732835,-0.010331349,0.023090344,0.508428064,12.245277405,13.024180412,-0.951206148,2.114691177725245,0.023177316093623352
1729518894.14024,0.874678059,-0.003517073,0.010166289,0.484584936,13.266015053,14.752303123,-1.070986509,2.007065880911378,0.024838151465408527
1729518896.55626,0.857961151,-0.008689513,0.020240142,0.513242138,14.313579559,16.763576508,-1.162745953,2.267732793659866,0.03902829230804598
1729518898.67036,0.84522938,-0.009454236,0.020728137,0.533917814,15.141285896,18.622236252,-1.253616691,2.034628669874703,0.054159715454328426
1729518900.7846,0.803104557,-0.001687628,0.012422414,0.595706229,15.918004036,20.515216827,-1.374096155,2.0461345328038396,0.054198672333846155
1729518902.79984,0.818423289,-0.005043895,0.018823057,0.574285225,16.509967804,22.471422195,-1.450757861,2.0438103004967876,0.04326021937684802
1729518905.22792,0.737027587,-0.003699285,0.021641615,0.675505958,16.930335999,24.514230728,-1.511382341,2.085611690096021,0.04842488114763576
1729518907.66502,0.744486387,-0.001077222,0.017833752,0.667398506,17.135700226,26.551095963,-1.594949484,2.047191845256061,0.05261087817667748
1729518909.97552,0.715077982,0.001502389,0.025692481,0.698570734,17.167768478,28.543458939,-1.681574345,1.9926210379602811,0.039080937950368634
1729518912.29528,0.686923187,-0.001557449,0.026788287,0.726234436,17.116230011,30.613048553,-1.738878131,2.0702312392477733,0.058164031613861626
1729518914.40215,0.636529748,-0.00395078,0.025471963,0.770821246,16.78768158,32.716953278,-1.834208608,2.129403475950456,0.04184306274027357
1729518916.5308,0.622440423,-0.000281105,0.022396068,0.782346605,16.27513504,34.703285217,-1.900721908,2.0513942886625878,0.031674856144452986
