__time,/pcl_pose/pose/pose/orientation/w,/pcl_pose/pose/pose/orientation/x,/pcl_pose/pose/pose/orientation/y,/pcl_pose/pose/pose/orientation/z,/pcl_pose/pose/pose/position/x,/pcl_pose/pose/pose/position/y,/pcl_pose/pose/pose/position/z,distance,curvature
1729518974.04692,0.086148037,0.026486575,0.015324726,0.99581229,-28.789972305,65.239334106,-1.083233476,2.0797512608324085,0.20802992967679415
1729518976.03366,-0.143124116,0.029779714,0.009005286,0.98921562,-30.921014786,65.025161743,-0.963766575,2.141777732842427,0.2441524410421693
1729518977.85549,-0.432869735,0.034589692,0.003128875,0.900787192,-32.33795166,64.053527832,-0.856789052,1.7180752491977895,0.23360008118527795
1729518979.98892,0.5796082,-0.037045463,-0.000996291,-0.814052185,-33.355800629,62.245429993,-0.757975936,2.0749058578862862,0.14471222339097403
1729518981.99198,0.622399427,-0.033831603,0.00017105,-0.781968266,-33.82276535,60.241943359,-0.660101414,2.057186122662525,0.09385478726333714
1729518983.89524,0.694846745,-0.036940819,0.001904421,-0.718205901,-33.89315033,58.227489471,-0.564273119,2.015683137868626,0.0804859307263765
1729518985.76008,0.727203098,-0.036159467,0.002902483,-0.685463159,-33.780956268,56.15473175,-0.490685731,2.075791915754841,0.02772293362594476
1729518987.53334,0.679665852,-0.037162083,0.001055626,-0.732579117,-33.762226105,54.112701416,-0.409689873,2.04211623175131,0.043876803076174656
1729518989.35375,0.708969346,-0.035477992,0.005591662,-0.704324125,-33.769947052,51.956138611,-0.344235748,2.156576626260251,0.030251344009172388
1729518991.06164,0.726081542,-0.036975005,0.004644388,-0.68659805,-33.609500885,49.959075928,-0.275911719,2.0034975249139095,0.03605299581130994
1729518993.08579,0.689690408,-0.034898767,0.000316057,-0.723262817,-33.610553741,47.662708282,-0.179901525,2.296367887360677,0.05474228748759494
1729518994.88393,0.714433824,-0.041688482,-0.006114384,-0.698433249,-33.583976746,45.587535858,-0.063307464,2.0753426044856407,0.03622635010840641
1729518996.5959,0.735655822,-0.039712951,-0.002598257,-0.67618532,-33.397396088,43.569091797,0.028987741,2.0270492764917925,0.022987082526260867
1729518998.43235,0.739497337,-0.031518725,0.006510432,-0.672389663,-33.132591248,41.447982788,0.123685837,2.137574567435811,0.024973412856431277
1729519000.53656,0.767895963,-0.034392454,0.007389647,-0.639607967,-32.749443054,39.132713318,0.150210783,2.3467584573789284,0.04219806424820345
1729519002.2531,0.777751447,-0.037452563,0.004725324,-0.627437405,-32.161636353,37.166061401,0.230719984,2.0526169833605774,0.08401272062487229
1729519004.0739,0.699930239,-0.034662668,-0.001358235,-0.713368264,-32.017642975,35.138690948,0.311019272,2.0324775636167027,0.5646040027923613
1729519005.87716,0.754868464,-0.038711633,0.004234813,-0.654719096,-31.812438965,33.100193024,0.324545562,2.048800251823584,0.15066652140881318
1729519007.51386,0.670645183,-0.039669494,0.002583582,-0.740712281,-31.651643753,31.304782867,0.435911924,1.8025961089664224,0.06709603476730443
1729519009.41583,0.712442459,-0.041737257,-0.002922082,-0.700482108,-31.616020203,29.249965668,0.550485611,2.0551259714725036,0.02866392946236222
1729519011.21656,0.708745878,-0.038437697,0.002597599,-0.704411158,-31.531291962,27.179950714,0.557946861,2.0717482435389156,0.053658638399640975
1729519014.30834,0.61646924,-0.032519363,-0.001762165,-0.786705173,-31.745275497,23.819574356,0.703361213,3.367182534502167,0.05163718343203364
1729519016.19674,0.604631091,-0.039574941,-0.005199409,-0.795504904,-32.260032654,21.7234478,0.835869312,2.1584071602575703,0.03140090342897371
